Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA10
2025-01-22 00:00:00-05:00,437.55999755859375,447.2699890136719,436.0,446.20001220703125,27803800,0.0,0.0,
2025-01-23 00:00:00-05:00,442.0,446.75,441.5,446.7099914550781,18389300,0.0,0.0,
2025-01-24 00:00:00-05:00,445.1600036621094,446.6499938964844,441.3999938964844,444.05999755859375,15549500,0.0,0.0,
2025-01-27 00:00:00-05:00,424.010009765625,435.20001220703125,423.5,434.55999755859375,35647800,0.0,0.0,
2025-01-28 00:00:00-05:00,434.6000061035156,448.3800048828125,431.3800048828125,447.20001220703125,23491700,0.0,0.0,
2025-01-29 00:00:00-05:00,446.69000244140625,446.8800048828125,440.3999938964844,442.3299865722656,23581400,0.0,0.0,
2025-01-30 00:00:00-05:00,418.7699890136719,422.8599853515625,413.1600036621094,414.989990234375,54586300,0.0,0.0,
2025-01-31 00:00:00-05:00,418.9800109863281,420.69000244140625,414.9100036621094,415.05999755859375,34223400,0.0,0.0,
2025-02-03 00:00:00-05:00,411.6000061035156,415.4100036621094,408.6600036621094,410.9200134277344,25679100,0.0,0.0,
2025-02-04 00:00:00-05:00,412.69000244140625,413.9200134277344,409.739990234375,412.3699951171875,20532100,0.0,0.0,431.43999938964845
2025-02-05 00:00:00-05:00,412.3500061035156,413.8299865722656,410.3999938964844,413.2900085449219,16316700,0.0,0.0,428.1489990234375
2025-02-06 00:00:00-05:00,414.0,418.20001220703125,414.0,415.82000732421875,16309800,0.0,0.0,425.06000061035155
2025-02-07 00:00:00-05:00,416.4800109863281,418.6499938964844,408.1000061035156,409.75,22886800,0.0,0.0,421.6290008544922
2025-02-10 00:00:00-05:00,413.7099914550781,415.4599914550781,410.9200134277344,412.2200012207031,20817900,0.0,0.0,419.39500122070314
2025-02-11 00:00:00-05:00,409.6400146484375,412.489990234375,409.29998779296875,411.44000244140625,18140600,0.0,0.0,415.8190002441406
2025-02-12 00:00:00-05:00,407.2099914550781,410.75,404.3699951171875,409.0400085449219,19121700,0.0,0.0,412.49000244140626
2025-02-13 00:00:00-05:00,407.0,411.0,406.3599853515625,410.5400085449219,23891700,0.0,0.0,412.0450042724609
2025-02-14 00:00:00-05:00,407.7900085449219,408.9100036621094,405.8800048828125,408.42999267578125,22758500,0.0,0.0,411.3820037841797
2025-02-18 00:00:00-05:00,408.0,410.6000061035156,406.5,409.6400146484375,21423100,0.0,0.0,411.25400390625
2025-02-19 00:00:00-05:00,407.8800048828125,415.489990234375,407.6499938964844,414.7699890136719,24114200,0.0,0.0,411.49400329589844
2025-02-20 00:00:00-05:00,415.2900085449219,419.30999755859375,412.5400085449219,416.1300048828125,23508700,0.0,0.0,411.7780029296875
2025-02-21 00:00:00-05:00,417.3399963378906,418.04998779296875,407.8900146484375,408.2099914550781,27448200,0.0,0.0,411.0170013427734
